bodyPositionTime,bodyPositionX,bodyPositionY,bodyPositionZ,bodyOrientationTime,bodyOrientationX,bodyOrientationY,bodyOrientationZ,gyroTime,gyroX,gyroY,gyroZ,cycleFrequencyTime,leftCycleFrequency,rightCycleFrequency,bodyforceTime,bodyforceX,bodyforceY,bodyforceZ,bodytorqueTime,bodytorqueX,bodytorqueY,bodytorqueZ,R1forceTime,R1forceX,R1forceY,R1forceZ,R1torqueTime,R1torqueX,R1torqueY,R1torqueZ,L1forceTime,L1forceX,L1forceY,L1forceZ,L1torqueTime,L1torqueX,L1torqueY,L1torqueZ
830,0.20889005064964294,0.0003764185239560902,0.007153394166380167,840,0.012632230296730995,-0.0030495505779981613,0.0018656370230019093,850,0.18689469993114471,0.0003475529665593058,0.007068092003464699,820,3,3,860,-0.00021167771774344146,-1.29459731397219e-05,-0.02917260304093361,860,8.629037324681121e-07,0.0012584824580699205,-2.1573696358245797e-06,880,-6.04754313826561e-06,1.019565388560295e-06,-5.77140599489212e-06,880,4.647299647331238e-07,-1.3795215636491776e-08,-4.852190613746643e-07,870,1.2006610631942749e-05,1.620221883058548e-05,-5.163252353668213e-06,870,-3.725290298461914e-09,1.862645149230957e-09,7.450580596923828e-09
1100,0.20889970660209656,0.00044563558185473084,0.0069067166186869144,1110,0.0031192023307085037,-0.0037764364387840033,-0.0005855634808540344,1120,0.1869194209575653,0.0005133535014465451,0.006582191213965416,830,3,3,1130,0.002615309553220868,-0.0008259540190920234,-0.025376517325639725,1130,3.774160859393305e-07,0.0010775988921523094,-6.256916822167113e-05,1150,1.1862721294164658e-05,6.303656846284866e-06,-1.48797407746315e-05,1150,1.200009137392044e-06,-1.3969838619232178e-09,9.462237358093262e-07,1140,-9.879469871520996e-06,1.5012919902801514e-06,-3.0137598514556885e-06,1140,0.0,0.0,0.0
1200,0.21911346912384033,0.0006584534421563148,0.013034716248512268,1210,-0.02363867498934269,-0.08482583612203598,-0.06374058127403259,1220,0.20061160624027252,0.0016329202335327864,0.012610100209712982,1100,3,3,1230,0.17218351364135742,0.00576381478458643,-0.049643512815237045,1230,-1.2664246241911314e-05,0.0028379373252391815,0.00032566190930083394,1250,1.0944902896881104e-05,-2.8763897716999054e-06,-1.6238540410995483e-05,1250,1.3262033462524414e-06,-3.4458935260772705e-08,8.791685104370117e-07,1240,-1.0775867849588394e-05,4.075048491358757e-05,-2.315361052751541e-05,1240,-5.587935447692871e-09,-3.4924596548080444e-10,-4.423782229423523e-09
1310,0.22590722143650055,-0.0001780490856617689,0.009031256660819054,1320,0.04963681101799011,-0.056061603128910065,-0.0751088559627533,1330,0.20494815707206726,0.0012148726964369416,0.008903002366423607,1200,3,3,1340,0.04120146483182907,-0.007102677598595619,-0.04939408600330353,1340,2.144788140867604e-06,0.003252315567806363,-0.0005453350022435188,1360,-2.830842277035117e-06,-1.2842938303947449e-05,6.217160262167454e-06,1360,-5.061156116425991e-07,9.313225746154785e-10,-2.2130552679300308e-07,1350,-1.0124058462679386e-05,5.2675604820251465e-06,-8.780742064118385e-06,1350,-3.3178366720676422e-09,-3.4924596548080444e-10,-6.28642737865448e-09
1420,0.2412794828414917,-0.0022629769518971443,0.015324095264077187,1430,-0.03052704781293869,-0.06852008402347565,-0.03360280022025108,1440,0.2198394536972046,-0.002107752487063408,0.009751807898283005,1310,3,3,1450,0.031454019248485565,0.0020582147408276796,-0.03210197761654854,1450,6.807084105275862e-07,0.0021252550650388002,0.00017174062668345869,1470,-1.656077802181244e-05,-3.63818253390491e-06,-5.397479981184006e-06,1470,4.3213367462158203e-07,7.414200808852911e-09,-1.3245735317468643e-06,1460,2.643093466758728e-06,9.175390005111694e-06,-5.0514936447143555e-06,1460,0.0,0.0,0.0
1520,0.24552646279335022,-0.004056654870510101,0.013561968691647053,1530,-0.07813350856304169,-0.13827507197856903,-0.12242965400218964,1540,0.2277047485113144,-0.002283847890794277,0.01202490832656622,1420,3,3,1550,0.18513020873069763,0.009611690416932106,-0.051640585064888,1550,4.409402026794851e-05,0.003670023288577795,0.0010339290602132678,1570,2.253800630569458e-07,-2.5993213057518005e-06,-1.059751957654953e-05,1570,8.549541234970093e-07,-2.7939677238464355e-08,2.514570951461792e-08,1560,-1.3702549040317535e-05,4.6708155423402786e-05,-4.460662603378296e-05,1560,9.313225746154785e-10,-4.656612873077393e-10,-9.313225746154785e-09
1620,0.25655436515808105,-0.00422794371843338,0.008763693273067474,1630,0.009248136542737484,0.01911088265478611,-0.1036922037601471,1640,0.2346685379743576,-0.001507788198068738,0.009082854725420475,1520,3,3,1650,0.04114289581775665,0.0008830876322463155,-0.0361282080411911,1650,4.985432042303728e-06,0.0028868974186480045,0.00011232075485168025,1670,-3.779539838433266e-05,-1.9781291484832764e-05,8.821673691272736e-05,1670,-7.0570968091487885e-06,1.30385160446167e-08,-3.0230730772018433e-06,1660,-1.2971926480531693e-05,5.586864426732063e-05,-4.828907549381256e-07,1660,-1.6763806343078613e-08,-1.3969838619232178e-09,-4.190951585769653e-09
1720,0.26811790466308594,-0.0032184969168156385,0.015233349055051804,1730,0.029691185802221298,-0.07783076912164688,0.007317975629121065,1740,0.24939313530921936,-0.0036332067102193832,0.014313355088233948,1620,3,3,1750,0.116023950278759,-0.007845621556043625,-0.042030490934848785,1750,1.8956034182338044e-05,0.003561052493751049,-0.0007331847446039319,1770,1.6207341104745865e-06,1.726148184388876e-07,1.005595549941063e-06,1770,-8.003553375601768e-08,7.854396244511008e-09,1.2945383787155151e-07,1760,-1.0601244866847992e-05,4.5956578105688095e-05,-7.834285497665405e-06,1760,0.0,0.0,0.0
1820,0.27282798290252686,-0.0038764625787734985,0.010097330436110497,1830,-0.05596053972840309,-0.06484954804182053,-0.04872637614607811,1840,0.2535552680492401,-0.0032464591786265373,0.010564519092440605,1720,3,3,1850,0.13018393516540527,-0.0033174213021993637,-0.06445541977882385,1850,-2.7239835617365316e-05,0.0060566626489162445,-0.0005034486530348659,1870,-1.1360796634107828e-05,-4.7390349209308624e-06,-1.0708754416555166e-05,1870,8.575734682381153e-07,-1.1641532182693481e-10,-9.113573469221592e-07,1860,-2.8924958314746618e-05,9.445496834814548e-05,-2.749357372522354e-05,1860,-1.2223608791828156e-09,-1.0710209608078003e-08,-1.210719347000122e-08
1930,0.28908631205558777,-0.005220884457230568,0.013227671384811401,1940,0.05941972881555557,-0.060264505445957184,-0.11215288192033768,1950,0.2671276330947876,-0.0017541651614010334,0.009074505418539047,1820,3,3,1960,0.00787089578807354,-0.0024013977963477373,-0.030126331374049187,1960,7.639342584297992e-06,0.0028704784344881773,-0.00029671023366972804,1980,-1.7238780856132507e-05,5.561858415603638e-06,1.4394521713256836e-05,1980,-1.1380761861801147e-06,-1.1175870895385742e-08,-1.3709068298339844e-06,1970,-2.6594847440719604e-05,8.012587204575539e-05,-4.917057231068611e-05,1970,-1.0244548320770264e-08,-9.313225746154785e-10,-8.847564458847046e-09
